"","taxa","year","rep","abundance"
"1","Caenis",1998,"C3_Feb97",157.2
"2","Farrodes",1998,"C2_Feb97",628.8
"3","Farrodes",1998,"C3_Feb97",157.2
"4","Macrothemis",1998,"C2_Feb97",314.4
"5","Argia",1998,"C3_Feb97",157.2
"6","Perissolestes",1998,"C1_Feb97",157.2
"7","Epigomphus",1998,"C1_Feb97",314.4
"8","Epigomphus",1998,"C2_Feb97",314.4
"9","Epigomphus",1998,"C3_Feb97",157.2
"10","Rhagovelia",1998,"C1_Feb97",157.2
"11","Phylloicus",1998,"C3_Feb97",314.4
"12","Banyallarga",1998,"C2_Feb97",157.2
"13","Banyallarga",1998,"C3_Feb97",786
"14","Macronema",1998,"C2_Feb97",1886.4
"15","Macronema",1998,"C3_Feb97",314.4
"16","Hexatoma",1998,"C2_Feb97",628.8
"17","Hexatoma",1998,"C3_Feb97",1886.4
"18","Ceratopogonidae",1998,"C2_Feb97",2200.8
"19","Ceratopogonidae",1998,"C3_Feb97",3144
"20","Xestochironomus",1998,"C3_Feb97",314.4
"21","Tanytarsinii",1998,"C1_Feb97",2829.6
"22","Tanytarsinii",1998,"C2_Feb97",13676.4
"23","Tanytarsinii",1998,"C3_Feb97",2358
"24","Chironominii",1998,"C1_Feb97",1572
"25","Chironominii",1998,"C2_Feb97",3772.8
"26","Chironominii",1998,"C3_Feb97",3772.8
"27","Ortochladiinae",1998,"C3_Feb97",157.2
"28","Tanypodinae",1998,"C2_Feb97",3772.8
"29","Tanypodinae",1998,"C3_Feb97",1414.8
"30","Hemerodromia",1998,"C2_Feb97",157.2
"31","Oligochaeta",1998,"C1_Feb97",157.2
"32","Oligochaeta",1998,"C2_Feb97",471.6
"33","Oligochaeta",1998,"C3_Feb97",943.2
"34","Polychaeta",1998,"C2_Feb97",157.2
"35","Baetidae",1997,"C3_Jan97",471.6
"36","Caenis",1997,"C2_Jan97",157.2
"37","Farrodes",1997,"C1_Jan97",2043.6
"38","Farrodes",1997,"C3_Jan97",2200.8
"39","Anacroneuria",1997,"C3_Jan97",628.8
"40","Heteragrion",1997,"C1_Jan97",786
"41","Heteragrion",1997,"C3_Jan97",314.4
"42","Perissolestes",1997,"C2_Jan97",157.2
"43","Epigomphus",1997,"C2_Jan97",628.8
"44","Ambrysus",1997,"C3_Jan97",157.2
"45","Hexacylloepus",1997,"C2_Jan97",157.2
"46","Neoelmis",1997,"C1_Jan97",157.2
"47","Neoelmis",1997,"C3_Jan97",157.2
"48","Xenelmis",1997,"C2_Jan97",157.2
"49","Ptilodactylidae",1997,"C3_Jan97",157.2
"50","Lutrochus",1997,"C3_Jan97",314.4
"51","Banyallarga",1997,"C1_Jan97",157.2
"52","Banyallarga",1997,"C2_Jan97",314.4
"53","Macronema",1997,"C1_Jan97",12418.8
"54","Macronema",1997,"C3_Jan97",9432
"55","Triplectides",1997,"C1_Jan97",471.6
"56","Philopotamidae",1997,"C1_Jan97",1886.4
"57","Philopotamidae",1997,"C3_Jan97",1729.2
"58","Hexatoma",1997,"C1_Jan97",471.6
"59","Simuliidae",1997,"C3_Jan97",157.2
"60","Ceratopogonidae",1997,"C2_Jan97",943.2
"61","Ceratopogonidae",1997,"C3_Jan97",471.6
"62","Xestochironomus",1997,"C1_Jan97",314.4
"63","Tanytarsinii",1997,"C1_Jan97",2200.8
"64","Tanytarsinii",1997,"C2_Jan97",4087.2
"65","Tanytarsinii",1997,"C3_Jan97",786
"66","Chironominii",1997,"C1_Jan97",1729.2
"67","Chironominii",1997,"C3_Jan97",2200.8
"68","Ortochladiinae",1997,"C2_Jan97",157.2
"69","Ortochladiinae",1997,"C3_Jan97",314.4
"70","Tanypodinae",1997,"C1_Jan97",3144
"71","Tanypodinae",1997,"C2_Jan97",4244.4
"72","Tanypodinae",1997,"C3_Jan97",1886.4
"73","Hemerodromia",1997,"C1_Jan97",471.6
"74","Dolichopodidae",1997,"C1_Jan97",157.2
"75","Dolichopodidae",1997,"C3_Jan97",157.2
"76","Acari",1997,"C1_Jan97",157.2
"77","Oligochaeta",1997,"C2_Jan97",943.2
"78","Oligochaeta",1997,"C3_Jan97",157.2
"79","Nematomorpha",1997,"C2_Jan97",314.4
"80","Collembola",1997,"C1_Jan97",157.2
"81","Collembola",1997,"C3_Jan97",314.4
"82","Insect only=",1997,"C1_Jan97",26409.6
"83","Insect only=",1997,"C2_Jan97",11004
"84","Insect only=",1997,"C3_Jan97",21536.4
