month,time,taxa,abundance
Jan-97,1,Farrode,890.8
Jan-97,1,Epigomp,1467.2
Jan-97,1,Hexacyl,786
Jan-97,1,Neoelmi,52.4
Jan-97,1,Xenelm,52.4
Jan-97,1,Phylloi,104.8
Jan-97,1,Marilia,52.4
Jan-97,1,Macronema,471.6
Jan-97,1,Hexatom,995.6
Jan-97,1,Ceratop,2358
Jan-97,1,Xestoch,262
Jan-97,1,Tanytar,3720.4
Jan-97,1,Chirono,2672.4
Jan-97,1,Ortochl,419.2
Jan-97,1,Tanypod,2253.2
Jan-97,1,Hemerodr,104.8
Jan-97,1,Acari,104.8
Jan-97,1,Oligoch,524
Jan-97,1,Polycha,52.4
Jan-97,1,Nematom,157.2
Feb-97,2,Baetid,52.4
Feb-97,2,Farrode,786
Feb-97,2,Anacron,52.4
Feb-97,2,Epigomp,104.8
Feb-97,2,Phyllog,52.4
Feb-97,2,Heterel,104.8
Feb-97,2,Hexacyl,209.6
Feb-97,2,Phylloi,52.4
Feb-97,2,Macronema,2462.8
Feb-97,2,Tipuli,52.4
Feb-97,2,Hexatom,1467.2
Feb-97,2,Ceratop,2829.6
Feb-97,2,Xestoch,52.4
Feb-97,2,Tanytar,7598
Feb-97,2,Chirono,2672.4
Feb-97,2,Ortochl,786
Feb-97,2,Tanypod,2253.2
Feb-97,2,Neoplas,52.4
Feb-97,2,Acari,52.4
Feb-97,2,Platyhe,52.4
Feb-97,2,Oligoch,419.2
Feb-97,2,Nematom,104.8
Feb-97,2,Collemb,52.4
Mar-97,3,Macroth ,52.4
Mar-97,3,Epigomp,52.4
Mar-97,3,Hexacyl,314.4
Mar-97,3,Xenelm,104.8
Mar-97,3,Gyrete ,52.4
Mar-97,3,Phylloi,104.8
Mar-97,3,Marilia,104.8
Mar-97,3,Macronema,157.2
Mar-97,3,Nectops,52.4
Mar-97,3,Tipuli,104.8
Mar-97,3,Hexatom,52.4
Mar-97,3,Ceratop,471.6
Mar-97,3,Tanytar,1152.8
Mar-97,3,Chirono,1048
Mar-97,3,Ortochl,157.2
Mar-97,3,Tanypod,2986.8
Mar-97,3,Oligoch,157.2
Apr-97,4,America,104.8
Apr-97,4,Farrode,157.2
Apr-97,4,Epigomp,52.4
Apr-97,4,Hexacyl,419.2
Apr-97,4,Xenelm,52.4
Apr-97,4,Macronema,157.2
Apr-97,4,Smicri ,104.8
Apr-97,4,Ceratop,1362.4
Apr-97,4,Xestoch,52.4
Apr-97,4,Tanytar,3353.6
Apr-97,4,Chirono,1834
Apr-97,4,Ortochl,471.6
Apr-97,4,Tanypod,2829.6
Apr-97,4,Copepod,52.4
Apr-97,4,Collemb,52.4
May-97,5,Farrode,157.2
May-97,5,Epigomp,52.4
May-97,5,Hexacyl,104.8
May-97,5,Xenelm,52.4
May-97,5,Macronema,52.4
May-97,5,Tipuli,366.8
May-97,5,Ceratop,628.8
May-97,5,Tanytar,628.8
May-97,5,Chirono,419.2
May-97,5,Ortochl,576.4
May-97,5,Tanypod,1205.2
May-97,5,Acari,104.8
May-97,5,Crab,104.8
May-97,5,Oligoch,366.8
